strategy,match_time_utc,event,match,market,pick,best_of,book,odds,stake,result,pl,cum_pl,clv_pp,clv_ref,close_quality,status,flagged_at_utc
bo3_dog_plus_1_5_v0,2026-08-07 11:00,,GenOne vs CYBERSHOKE,+1.5 maps,GenOne,3,Sharp,1.339,1,lost,-1.0,-2.137,0.0,Sharp,,selected,2026-08-07 07:10
bo3_dog_plus_1_5_v0,2026-08-07 23:00,,Imperial vs Galorys,+1.5 maps,Galorys,3,Sharp,1.704,1,won,0.704,-1.433,-4.76,Sharp,,selected,2026-08-07 09:11
bo3_dog_plus_1_5_v0,2026-08-08 08:00,,Fire Flux vs Phantom Academy,+1.5 maps,Phantom Academy,3,Sharp,1.369,1,won,0.369,-1.064,,,,selected,2026-08-08 07:13
bo3_dog_plus_1_5_v0,2026-08-08 09:00,,Echo vs OG,+1.5 maps,Echo,3,Sharp,1.305,1,won,0.305,,,,,quarantined,2026-08-08 04:06
bo3_dog_plus_1_5_v0,2026-08-08 10:00,,Black Phoenix vs CYBERSHOKE,+1.5 maps,Black Phoenix,3,Sharp,1.532,1,won,0.532,,0.0,Sharp,,ineligible,2026-08-08 07:13
bo3_dog_plus_1_5_v0,2026-08-08 20:00,,ALKA vs paiN Academy,+1.5 maps,paiN Academy,3,Sharp,1.599,1,lost,-1.0,-2.064,0.08,Sharp,,selected,2026-08-08 00:06
bo3_dog_plus_1_5_v0,2026-08-09 09:00,,HEROIC vs ASTRAL,+1.5 maps,ASTRAL,3,Sharp,2.54,1,lost,-1.0,-3.064,5.39,Sharp,,selected,2026-08-08 23:07
bo3_dog_plus_1_5_v0,2026-08-09 09:00,,BC.Game vs OG,+1.5 maps,OG,3,Sharp,1.633,1,lost,-1.0,-4.064,-4.37,Sharp,,selected,2026-08-08 23:07
bo3_dog_plus_1_5_v0,2026-08-09 14:00,,ALKA vs BORRACHEIROS,+1.5 maps,BORRACHEIROS,3,Sharp,1.37,1,lost,-1.0,-5.064,-1.89,Sharp,,selected,2026-08-09 04:07
bo3_dog_plus_1_5_v0,2026-08-09 17:00,,Grêmio vs Procyon,+1.5 maps,Grêmio,3,Sharp,1.315,1,won,0.315,-4.749,-1.64,Sharp,,selected,2026-08-09 04:07
bo3_dog_plus_1_5_v0,2026-08-09 23:00,,Galorys vs Keyd Stars,+1.5 maps,Keyd Stars,3,Sharp,1.383,1,lost,-1.0,-5.749,1.79,Sharp,,selected,2026-08-09 04:07
bo3_dog_plus_1_5_v0,2026-08-10 21:00,,Back to Back vs DAMAJUANA,+1.5 maps,DAMAJUANA,3,Sharp,2.92,1,lost,-1.0,,-0.3,Sharp,,ineligible,2026-08-10 16:06
bo3_dog_plus_1_5_v0,2026-08-11 23:45,,METANOIA Wolves vs Red Feet,+1.5 maps,Red Feet,3,Sharp,1.521,1,lost,-1.0,,-1.79,Sharp,,quarantined,2026-08-11 12:06
bo3_dog_plus_1_5_v0,2026-08-13 14:00,,Bushido Wildcats vs ex-RUSTEC,+1.5 maps,Bushido Wildcats,3,Sharp,1.379,1,won,0.379,-5.37,0.6,Sharp,,selected,2026-08-13 08:07
bo3_dog_plus_1_5_v0,2026-08-13 20:00,,Imperial vs Isurus,+1.5 maps,Isurus,3,Sharp,2.0,1,lost,-1.0,-6.37,0.3,Sharp,,selected,2026-08-13 12:09
bo3_dog_plus_1_5_v0,2026-08-14 13:00,,Lavked vs SINQU,+1.5 maps,SINQU,3,Sharp,2.16,1,won,1.16,,-2.16,Sharp,,quarantined,2026-08-14 07:09
bo3_dog_plus_1_5_v0,2026-08-14 13:55,,Vitality vs B8,+1.5 maps,B8,3,Sharp,2.48,1,won,1.48,,-1.29,Sharp,,ineligible,2026-08-13 20:06
bo3_dog_plus_1_5_v0,2026-08-14 20:00,,Galorys vs BORRACHEIROS,+1.5 maps,BORRACHEIROS,3,Sharp,1.962,1,lost,-1.0,-7.37,-1.27,Sharp,,selected,2026-08-13 21:07
bo3_dog_plus_1_5_v0,2026-08-14 23:00,,BESTIA vs ALKA,+1.5 maps,ALKA,3,Sharp,2.35,1,won,1.35,-6.02,3.37,Sharp,,selected,2026-08-14 15:08
bo3_dog_plus_1_5_v0,2026-08-14 23:45,,METANOIA Wolves vs MEIA NOITE,+1.5 maps,METANOIA Wolves,3,Sharp,1.694,1,won,0.694,-5.326,-0.87,Sharp,,selected,2026-08-14 15:08
bo3_dog_plus_1_5_v0,2026-08-15 11:00,,9z vs FURIA,+1.5 maps,9z,3,Sharp,1.556,1,won,0.556,-4.77,0.31,Sharp,,selected,2026-08-15 04:06
bo3_dog_plus_1_5_v0,2026-08-15 13:00,,Fire Flux vs OG,+1.5 maps,Fire Flux,3,Sharp,2.14,1,won,1.14,-3.63,6.15,Sharp,,selected,2026-08-15 06:06
bo3_dog_plus_1_5_v0,2026-08-15 16:50,,BIG vs Spirit,+1.5 maps,BIG,3,Sharp,2.24,1,won,1.24,-2.39,0.81,Sharp,,selected,2026-08-15 01:06
bo3_dog_plus_1_5_v0,2026-08-15 21:00,,paiN Academy vs ALKA,+1.5 maps,paiN Academy,3,Sharp,1.82,1,lost,-1.0,,2.87,Sharp,,ineligible,2026-08-15 17:06
bo3_dog_plus_1_5_v0,2026-08-16 11:00,,ENCE vs WBT,+1.5 maps,WBT,3,Sharp,1.465,1,won,0.465,,7.32,Sharp,,ineligible,2026-08-15 18:06
bo3_dog_plus_1_5_v0,2026-08-16 11:00,,Vitality vs Lynn Vision,+1.5 maps,Lynn Vision,3,Sharp,3.22,1,lost,-1.0,,-2.98,Sharp,,ineligible,2026-08-15 22:07
bo3_dog_plus_1_5_v0,2026-08-17 11:00,,ENCE vs BERG,+1.5 maps,BERG,3,Sharp,1.763,1,lost,-1.0,-3.39,-2.58,Sharp,,selected,2026-08-17 00:06
bo3_dog_plus_1_5_v0,2026-08-17 11:00,,Inner Circle Academy vs ex-Zero Tenacity,+1.5 maps,Inner Circle Academy,3,Sharp,1.478,1,won,0.478,-2.912,-3.25,Sharp,,selected,2026-08-17 05:06
bo3_dog_plus_1_5_v0,2026-08-17 13:45,,LPH vs SAW Youngsters,+1.5 maps,LPH,3,Sharp,1.41,1,won,0.41,,3.94,Sharp,,ineligible,2026-08-16 23:06
bo3_dog_plus_1_5_v0,2026-08-17 17:00,,Enjoy vs HAVU,+1.5 maps,HAVU,3,Sharp,1.407,1,won,0.407,-2.505,0.19,Sharp,,selected,2026-08-17 01:05
bo3_dog_plus_1_5_v0,2026-08-18 08:00,,PCIFIC vs Just Players,+1.5 maps,PCIFIC,3,Sharp,1.592,1,lost,-1.0,,-1.73,Sharp,,ineligible,2026-08-18 04:07
bo3_dog_plus_1_5_v0,2026-08-18 11:00,,MASONIC vs Bebop,+1.5 maps,MASONIC,3,Sharp,1.426,1,won,0.426,,-4.38,Sharp,,ineligible,2026-08-18 04:07
bo3_dog_plus_1_5_v0,2026-08-18 17:00,,Lavked vs HAVU,+1.5 maps,HAVU,3,Sharp,1.541,1,won,0.541,-1.964,0.42,Sharp,,selected,2026-08-18 15:07
